name,min megahertz,max megahertz,min megabytes,max megabytes,mem_level:portal2,min megatexels,max megatexels,gpu_mem_level:portal2,mat_triplebuffered:portal2,min_processor_count,max_processor_count,cpu_level:portal2,VendorID,MinDeviceID,MaxDeviceID,m_nDriverVersion_BuildHigh,m_nDriverVersion_BuildLow,m_nDriverVersion_Vista_BuildHigh,m_nDriverVersion_Vista_BuildLow,MakeMeLast,Laptop:base,MinDxLevel:base,MaxDxLevel:base,DxLevel:base,CentroidHack:base,NoUserClipPlanes:base,PreferZPrepass:base,DisableShaderOptimizations:base,SuppressPixelShaderCentroidHackFixup:base,PreferTexturesInHWMemory:base,PreferHardwareSync:base,Unsupported:portal2,DefaultRes:portal2,DefaultResHeight:portal2,gpu_level:portal2,mat_antialias:portal2,mat_forceaniso:portal2,mat_grain_scale_override:portal2,mat_vsync:portal2,videoconfig_version:portal2
90,,,,,,,,,,,,,,,,,,,,,,90,90,90,0,0,0,,,0,0,,800,600,0,1,,1,1,
92,,,,,,,,,,,,,,,,,,,,,,90,92,92,0,0,0,,,0,0,,1024,768,0,1,,1,1,
95,,,,,,,,,,,,,,,,,,,,,,90,95,95,0,0,0,,,0,0,,1024,768,0,1,,1,1,
98,,,,,,,,,,,,,,,,,,,,,,98,98,98,0,0,1,,,0,0,,1280,1024,0,1,2,1,1,
100,,,,,,,,,,,,,,,,,,,,,,92,100,100,0,0,0,,,0,0,,1600,1200,0,1,4,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,0,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [0-1024),,,0,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1024-1536),,,1200,1800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1536-),,,1800,65535,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [0-128),,,,,,0,140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [128-256),,,,,,140,300,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [256-infinity),,,,,,300,530,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [512-infinity),,,,,,530,65535,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_level_0,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level_1,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level_2,,,,,,,,,,3,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card/dxlevel specific stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,0x1002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68c1,0x68c1,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68c8,0x68c9,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon HD 5670 ,,,,,,,,,,,,,0x1002,0x68d0,0x68d0,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68d1,0x68d1,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68d8,0x68d9,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68de,0x68de,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68e0,0x68e1,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68e8,0x68e9,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68f0,0x68f1,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68f8,0x68f9,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68fe,0x68fe,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X1000,,,,,,,,,,,,0,0x1002,0x7109,0x7109,,,,,,,,,,,,,,,,,,800,600,0,,0,,,
ATI Radeon X1000,,,,,,,,,,,,0,0x1002,0x7142,0x7142,,,,,,,,,,,,,,,,,,800,600,0,,0,,,
ATI Radeon 1300,,,,,,,,,,,,0,0x1002,0x7146,0x7146,,,,,,,,,,,,,,,,,1,800,600,0,,0,,,
ATI Radeon 1300,,,,,,,,,,,,0,0x1002,0x7187,0x7187,,,,,,,,,,,,,,,,,1,800,600,0,,0,,,
ATI Radeon X1000,,,,,,,,,,,,0,0x1002,0x71c0,0x71c0,,,,,,,,,,,,,,,,,,800,600,0,,0,,,
ATI Radeon 1600,,,,,,,,,,,,0,0x1002,0x71c5,0x71c5,,,,,,,,,,,,,,,,,1,800,600,0,,0,,,
ATI Radeon X1000,,,,,,,,,,,,0,0x1002,0x71de,0x71de,,,,,,,,,,,,,,,,,,800,600,0,,0,,,
ATI Radeon X1000,,,,,,,,,,,,0,0x1002,0x7210,0x7210,,,,,,,,,,,,,,,,,,800,600,0,,0,,,
ATI Radeon X1000,,,,,,,,,,,,0,0x1002,0x7240,0x7240,,,,,,,,,,,,,,,,,,800,600,0,,0,,,
ATI Radeon 1900,,,,,,,,,,,,0,0x1002,0x7249,0x7249,,,,,,,,,,,,,,,,,1,800,600,0,,0,,,
ATI Radeon X1000,,,,,,,,,,,,,0x1002,0x7291,0x7291,,,,,,,,,,,,,,,,,,800,600,0,,,,,
ATI Radeon X2000,,,,,,,,,,,,,0x1002,0x9400,0x9403,,,,,,,,,,,,,,,,,,800,600,0,,,,,
ATI Radeon HD 4870,,,,,,,,,,,,,0x1002,0x9440,0x9440,,,,,,,,,,,,,,,,,,1600,900,2,4,4,,,
ATI Radeon X2000,,,,,,,,,,,,,0x1002,0x9442,0x9442,,,,,,,,,,,,,,,,,,800,600,0,,,,,
ATI Radeon HD 4850,,,,,,,,,,,,,0x1002,0x944a,0x944a,,,,,,,,,,,,,,,,,,1600,900,2,4,4,,,
ATI Radeon X2000,,,,,,,,,,,,,0x1002,0x945a,0x945a,,,,,,,,,,,,,,,,,,800,600,0,,,,,
ATI Radeon HD 4670,,,,,,,,,,,,,0x1002,0x9480,0x9480,,,,,,,,,,,,,,,,,,1600,900,1,2,4,,,
ATI Radeon HD 4670,,,,,,,,,,,,,0x1002,0x9488,0x9488,,,,,,,,,,,,,,,,,,1600,900,1,2,4,,,
ATI Radeon 4600,,,,,,,,,,,,,0x1002,0x9490,0x9490,,,,,,,,,,,,,,,,,,1600,900,1,2,4,,,
ATI Radeon X2000,,,,,,,,,,,,,0x1002,0x949e,0x949e,,,,,,,,,,,,,,,,,,800,600,0,,,,,
ATI Radeon X2000,,,,,,,,,,,,,0x1002,0x94a0,0x94a0,,,,,,,,,,,,,,,,,,800,600,0,,,,,
