name,min megahertz,max megahertz,min megabytes,max megabytes,mem_level:portal2,min megatexels,max megatexels,gpu_mem_level:portal2,mat_triplebuffered:portal2,min_processor_count,max_processor_count,cpu_level:portal2,VendorID,MinDeviceID,MaxDeviceID,m_nDriverVersion_BuildHigh,m_nDriverVersion_BuildLow,m_nDriverVersion_Vista_BuildHigh,m_nDriverVersion_Vista_BuildLow,MakeMeLast,Laptop:base,MinDxLevel:base,MaxDxLevel:base,DxLevel:base,CentroidHack:base,NoUserClipPlanes:base,PreferZPrepass:base,DisableShaderOptimizations:base,SuppressPixelShaderCentroidHackFixup:base,PreferTexturesInHWMemory:base,PreferHardwareSync:base,Unsupported:portal2,DefaultRes:portal2,DefaultResHeight:portal2,gpu_level:portal2,mat_antialias:portal2,mat_forceaniso:portal2,mat_grain_scale_override:portal2,mat_tonemapping_occlusion_use_stencil:portal2,mat_vsync:portal2,videoconfig_version:portal2
90,,,,,,,,,,,,,,,,,,,,,,90,90,90,0,0,0,,,0,1,,800,600,0,,,1,0,1,
92,,,,,,,,,,,,,,,,,,,,,,90,92,92,0,0,0,,,0,1,,1024,768,1,,,1,0,1,
95,,,,,,,,,,,,,,,,,,,,,,90,95,95,0,0,0,,,0,1,,1024,768,2,,,1,0,1,
97,,,,,,,,,,,,,,,,,,,,,,97,97,97,0,0,1,,,0,0,,1280,1024,3,,4,1,0,1,
98,,,,,,,,,,,,,,,,,,,,,,98,98,98,0,0,1,,,0,0,,1280,1024,3,,4,1,0,1,
100,,,,,,,,,,,,,,,,,,,,,,92,100,100,0,0,0,,,0,1,,1600,1200,3,4,4,1,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,0,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [0-1024),,,0,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1024-1536),,,1200,1800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1536-),,,1800,65535,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [0-128),,,,,,0,140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [128-256),,,,,,140,300,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [256-infinity),,,,,,300,530,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [512-infinity),,,,,,530,65535,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_level_0,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level_1,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level 2,,,,,,,,,,3,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card/dxlevel specific stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,0x1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon 7500,,,,,,,,,,,,,0x1002,0x4c57,0x4c57,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon Mobility FireGL 7800,,,,,,,,,,,,,0x1002,0x4c58,0x4c58,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon,,,,,,,,,,,,,0x1002,0x4c59,0x4c59,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon 8500/9000/9200,,,,,,,,,,,,,0x1002,0x4c66,0x4c66,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility 128 AGP 4X,,,,,,,,,,,,,0x1002,0x4d46,0x4d46,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9700 PRO,,,,,,,,,,,,,0x1002,0x4e44,0x4e44,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9500 PRO / 9700,,,,,,,,,,,,,0x1002,0x4e45,0x4e45,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9600 TX,,,,,,,,,,,,,0x1002,0x4e46,0x4e46,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireGL X1 AGP Pro,,,,,,,,,,,,,0x1002,0x4e47,0x4e47,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9800,,,,,,,,,,,,,0x1002,0x4e48,0x4e4a,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireGL X2,,,,,,,,,,,,,0x1002,0x4e4b,0x4e4b,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon 9600/9650/9700,,,,,,,,,,,,,0x1002,0x4e50,0x4e50,,,,,,1,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9600,,,,,,,,,,,,,0x1002,0x4e51,0x4e51,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon 9700 SE,,,,,,,,,,,,,0x1002,0x4e52,0x4e52,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility FireGL T2,,,,,,,,,,,,,0x1002,0x4e54,0x4e54,,,,,,1,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon 9550,,,,,,,,,,,,,0x1002,0x4e56,0x4e56,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9500/9700,,,,,,,,,,,,,0x1002,0x4e64,0x4e66,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireGL X1 AGP Pro,,,,,,,,,,,,,0x1002,0x4e67,0x4e67,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9800,,,,,,,,,,,,,0x1002,0x4e68,0x4e6a,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireGL X2-256/X2-256t,,,,,,,,,,,,,0x1002,0x4e6b,0x4e6b,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9600,,,,,,,,,,,,,0x1002,0x4e71,0x4e71,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI All-In-Wonder 128 PCI,,,,,,,,,,,,,0x1002,0x5044,0x5044,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage Fury MAXX,,,,,,,,,,,,,0x1002,0x5046,0x5046,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage 128 Pro,,,,,,,,,,,,,0x1002,0x5050,0x5050,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage 128 Pro,,,,,,,,,,,,,0x1002,0x5052,0x5052,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 7200,,,,,,,,,,,,,0x1002,0x5144,0x5144,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI FireGL 8700/8800 Video Accelerator,,,,,,,,,,,,,0x1002,0x5148,0x5148,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 8500,,,,,,,,,,,,,0x1002,0x514c,0x514c,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9100,,,,,,,,,,,,,0x1002,0x514d,0x514d,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 7500,,,,,,,,,,,,,0x1002,0x5157,0x5157,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 7000,,,,,,,,,,,,,0x1002,0x5159,0x515a,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI ES1000 ,,,,,,,,,,,,,0x1002,0x515e,0x515e,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage 128,,,,,,,,,,,,,0x1002,0x5245,0x5246,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage 128,,,,,,,,,,,,,0x1002,0x524b,0x524c,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage 128 4X AGP 4X,,,,,,,,,,,,,0x1002,0x5347,0x5347,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X700 SE,,,,,,,,,,,,,0x1002,0x534c,0x534c,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage 128,,,,,,,,,,,,,0x1002,0x534d,0x534d,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage 128 Pro,,,,,,,,,,,,,0x1002,0x5446,0x5446,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage 128 Pro,,,,,,,,,,,,,0x1002,0x5452,0x5452,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon X300,,,,,,,,,,,,,0x1002,0x5460,0x5460,,,,,,1,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon X600,,,,,,,,,,,,,0x1002,0x5462,0x5462,,,,,,1,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility FireGL V3100,,,,,,,,,,,,,0x1002,0x5464,0x5464,,,,,,1,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x5548,0x554b,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x554d,0x554f,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI FireGL V7100,,,,,,,,,,,,,0x1002,0x5550,0x5550,,,,,,,,,92,1,,,,,,,,1024,768,1,0,0,1,,,
ATI FireGL V5100,,,,,,,,,,,,,0x1002,0x5551,0x5551,,,,,,,,,92,1,,,,,,,,1024,768,1,0,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x5569,0x556b,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x556d,0x556f,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI FireGL V7100,,,,,,,,,,,,,0x1002,0x5570,0x5570,,,,,,,,,92,1,,,,,,,,1024,768,1,0,0,1,,,
ATI FireGL V5100,,,,,,,,,,,,,0x1002,0x5571,0x5571,,,,,,,,,92,1,,,,,,,,1024,768,1,0,0,1,,,
ATI FireGL V5000,,,,,,,,,,,,,0x1002,0x564b,0x564b,,,,,,,,,92,1,,,,,,,,1024,768,1,0,0,1,,,
ATI Mobility Radeon X700,,,,,,,,,,,,,0x1002,0x564f,0x564f,,,,,,1,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon X700,,,,,,,,,,,,,0x1002,0x5652,0x5653,,,,,,1,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI ATI-264VT2 PCI,,,,,,,,,,,,,0x1002,0x5654,0x5654,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Technologies Inc. ATI-264VT4 PCI,,,,,,,,,,,,,0x1002,0x5656,0x5656,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X550,,,,,,,,,,,,,0x1002,0x5657,0x5657,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X550,,,,,,,,,,,,,0x1002,0x5677,0x5677,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9100 IGP,,,,,,,,,,,,,0x1002,0x5834,0x5834,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon 9000/9100 IGP,,,,,,,,,,,,,0x1002,0x5835,0x5835,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon Xpress 200,,,,,,,,,,,,,0x1002,0x5854,0x5854,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon Xpress 200,,,,,,,,,,,,,0x1002,0x5874,0x5874,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9250,,,,,,,,,,,,,0x1002,0x5940,0x5940,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9200,,,,,,,,,,,,,0x1002,0x5941,0x5941,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9250/9200,,,,,,,,,,,,,0x1002,0x5942,0x5942,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI RS480,,,,,,,,,,,,,0x1002,0x5954,0x5954,,,,,,,,,,1,,,,,,,,800,600,1,0,0,1,,,
ATI RS480M,,,,,,,,,,,,,0x1002,0x5955,0x5955,,,,,,,,,,1,,,,,,,,800,600,1,0,0,1,,,
ATI Radeon 9200,,,,,,,,,,,,,0x1002,0x5960,0x5962,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9200,,,,,,,,,,,,,0x1002,0x5964,0x5964,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI FireMV 2200 PCI,,,,,,,,,,,,,0x1002,0x5965,0x5965,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon Xpress 200,,,,,,,,,,,,,0x1002,0x5974,0x5975,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI RS400,,,,,,,,,,,,,0x1002,0x5a41,0x5a41,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI RS400M,,,,,,,,,,,,,0x1002,0x5a42,0x5a42,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon Xpress 200,,,,,,,,,,,,,0x1002,0x5a61,0x5a62,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X300,,,,,,,,,,,,,0x1002,0x5b60,0x5b60,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X600,,,,,,,,,,,,,0x1002,0x5b62,0x5b62,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X550,,,,,,,,,,,,,0x1002,0x5b63,0x5b63,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireGL V3100,,,,,,,,,,,,,0x1002,0x5b64,0x5b64,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireMV 2200,,,,,,,,,,,,,0x1002,0x5b65,0x5b65,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X300,,,,,,,,,,,,,0x1002,0x5b70,0x5b70,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X600,,,,,,,,,,,,,0x1002,0x5b72,0x5b72,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X550,,,,,,,,,,,,,0x1002,0x5b73,0x5b73,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireGL V3100,,,,,,,,,,,,,0x1002,0x5b74,0x5b74,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9250,,,,,,,,,,,,,0x1002,0x5c43,0x5c43,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon 9200,,,,,,,,,,,,,0x1002,0x5c61,0x5c61,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon 9200,,,,,,,,,,,,,0x1002,0x5c63,0x5c63,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9200,,,,,,,,,,,,,0x1002,0x5d44,0x5d44,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI FireMV 2200,,,,,,,,,,,,,0x1002,0x5d45,0x5d45,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon X800,,,,,,,,,,,,,0x1002,0x5d48,0x5d48,,,,,,,,,,1,,,,,,,,1024,768,1,0,0,1,,,
ATI Mobility FireGL V5100,,,,,,,,,,,,,0x1002,0x5d49,0x5d49,,,,,,1,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon X800,,,,,,,,,,,,,0x1002,0x5d4a,0x5d4a,,,,,,1,,,,1,,,,,,,,1024,768,1,0,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x5d4d,0x5d4d,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI Radeon X850,,,,,,,,,,,,,0x1002,0x5d4f,0x5d4f,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x5d52,0x5d52,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x5d57,0x5d57,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI Radeon X850,,,,,,,,,,,,,0x1002,0x5d6d,0x5d6d,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x5d6f,0x5d6f,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI Radeon X850,,,,,,,,,,,,,0x1002,0x5d72,0x5d72,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x5d77,0x5d77,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI FireGL V3400,,,,,,,,,,,,,0x1002,0x5e48,0x5e48,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireGL V3300,,,,,,,,,,,,,0x1002,0x5e49,0x5e49,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X700,,,,,,,,,,,,,0x1002,0x5e4a,0x5e4a,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X700 PRO,,,,,,,,,,,,,0x1002,0x5e4b,0x5e4b,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X700,,,,,,,,,,,,,0x1002,0x5e4d,0x5e4d,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X700,,,,,,,,,,,,,0x1002,0x5e4f,0x5e4f,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X700,,,,,,,,,,,,,0x1002,0x5e6b,0x5e6b,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X700,,,,,,,,,,,,,0x1002,0x5e6d,0x5e6d,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X700,,,,,,,,,,,,,0x1002,0x5e6f,0x5e6f,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon HD 6970,,,,,,,,,,,,,0x1002,0x6718,0x6718,,,,,,,,,,,,,,,,,,2560,1600,3,4,4,1,,,
ATI Radeon HD 6950,,,,,,,,,,,,,0x1002,0x6719,0x6719,,,,,,,,,,,,,,,,,,2560,1600,3,4,4,1,,,
ATI Radeon HD 6990,,,,,,,,,,,,,0x1002,0x671d,0x671d,,,,,,,,,,,,,,,,,,2560,1600,3,4,4,1,,,
ATI Radeon HD 6970M,,,,,,,,,,,,,0x1002,0x6720,0x6720,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 6870,,,,,,,,,,,,,0x1002,0x6738,0x6738,,,,,,,,,,,,,,,,,,2560,1600,3,4,4,1,,,
ATI Radeon HD 6850,,,,,,,,,,,,,0x1002,0x6739,0x6739,,,,,,,,,,,,,,,,,,2560,1600,3,4,4,1,,,
ATI Radeon HD 6700 Series,,,,,,,,,,,,,0x1002,0x673e,0x673e,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 6770M,,,,,,,,,,,,,0x1002,0x6740,0x6740,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 6750M,,,,,,,,,,,,,0x1002,0x6741,0x6741,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 6670,,,,,,,,,,,,,0x1002,0x6758,0x6758,,,,,,,,,,,,,,,,,,2560,1600,3,4,4,1,,,
ATI Radeon HD 6490M,,,,,,,,,,,,,0x1002,0x6760,0x6760,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 6400 Series,,,,,,,,,,,,,0x1002,0x6770,0x6770,,,,,,,,,,,,,,,,,,1900,1200,3,2,4,1,,,
ATI Radeon HD 5xxx Series,,,,,,,,,,,,,0x1002,0x6779,0x6779,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI FirePro V8800 ,,,,,,,,,,,,,0x1002,0x6888,0x6888,,,,,,,,,,,,,,,,,,640,480,1,0,0,1,,,
ATI FirePro V7800,,,,,,,,,,,,,0x1002,0x6889,0x6889,,,,,,,,,,,,,,,,,,640,480,1,0,0,1,,,
ATI Radeon HD 5870,,,,,,,,,,,,,0x1002,0x6898,0x6898,,,,,,,,,,,,,,,,,,2560,1600,3,4,4,1,,,
ATI Radeon HD 5850,,,,,,,,,,,,,0x1002,0x6899,0x6899,,,,,,,,,,,,,,,,,,2560,1600,3,4,4,1,,,
ATI Radeon HD 5970,,,,,,,,,,,,,0x1002,0x689c,0x689c,,,,,,,,,,,,,,,,,,2560,1600,3,4,4,1,,,
ATI Radeon HD 5830,,,,,,,,,,,,,0x1002,0x689e,0x689e,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 5870,,,,,,,,,,,,,0x1002,0x68a0,0x68a0,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 5850,,,,,,,,,,,,,0x1002,0x68a1,0x68a1,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI FirePro V5800 ,,,,,,,,,,,,,0x1002,0x68a9,0x68a9,,,,,,,,,,,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon HD 5770,,,,,,,,,,,,,0x1002,0x68b8,0x68b8,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 5600 Series,,,,,,,,,,,,,0x1002,0x68b9,0x68b9,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 6700 Series,,,,,,,,,,,,,0x1002,0x68ba,0x68ba,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 5750,,,,,,,,,,,,,0x1002,0x68be,0x68be,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 6700 Series,,,,,,,,,,,,,0x1002,0x68bf,0x68bf,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 5730,,,,,,,,,,,,,0x1002,0x68c0,0x68c0,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 5650,,,,,,,,,,,,,0x1002,0x68c1,0x68c1,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI FirePro V4800 ,,,,,,,,,,,,,0x1002,0x68c8,0x68c8,,,,,,,,,,,,,,,,,,800,600,0,0,0,1,,,
ATI FirePro V3800,,,,,,,,,,,,,0x1002,0x68c9,0x68c9,,,,,,,,,,,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon HD 5670,,,,,,,,,,,,,0x1002,0x68d8,0x68d8,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 5570,,,,,,,,,,,,,0x1002,0x68d9,0x68d9,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 5550,,,,,,,,,,,,,0x1002,0x68da,0x68da,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 5470,,,,,,,,,,,,,0x1002,0x68e0,0x68e0,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 5430,,,,,,,,,,,,,0x1002,0x68e1,0x68e1,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon Graphics,,,,,,,,,,,,,0x1002,0x68e4,0x68e4,,,,,,,,,,,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon HD 5450,,,,,,,,,,,,,0x1002,0x68f9,0x68f9,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon X1800,,,,,,,,,,,,,0x1002,0x7100,0x7101,,,,,,,,,,1,,,,,,,,1024,768,1,2,2,1,,,
ATI Mobility Radeon X1800,,,,,,,,,,,,,0x1002,0x7102,0x7102,,,,,,1,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI FireGL V7200,,,,,,,,,,,,,0x1002,0x7104,0x7104,,,,,,,,,92,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1800,,,,,,,,,,,,,0x1002,0x7108,0x710b,,,,,,,,,,1,,,,,,,,1024,768,1,2,2,1,,,
ATI FireGL V7300,,,,,,,,,,,,,0x1002,0x710e,0x710e,,,,,,,,,92,1,,,,,,,,800,600,0,0,0,1,,,
ATI FireGL V7350,,,,,,,,,,,,,0x1002,0x710f,0x710f,,,,,,,,,92,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1800,,,,,,,,,,,,,0x1002,0x7120,0x7120,,,,,,,,,,1,,,,,,,,1024,768,1,2,2,1,,,
ATI FireGL V7200,,,,,,,,,,,,,0x1002,0x7124,0x7124,,,,,,,,,92,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1800,,,,,,,,,,,,,0x1002,0x7129,0x712a,,,,,,,,,,1,,,,,,,,1024,768,2,2,2,1,,,
ATI Radeon X1600,,,,,,,,,,,,,0x1002,0x7140,0x7140,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1300,,,,,,,,,,,,,0x1002,0x7142,0x7142,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1550,,,,,,,,,,,,,0x1002,0x7143,0x7143,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Mobility Radeon X1400,,,,,,,,,,,,,0x1002,0x7145,0x7145,,,,,,1,,,,1,,,,,,,,800,600,1,0,0,1,,,
ATI Radeon X1300,,,,,,,,,,,,,0x1002,0x7146,0x7146,,,,,,,,,,1,,,,,,,,800,600,1,0,0,1,,,
ATI Radeon X1550,,,,,,,,,,,,,0x1002,0x7147,0x7147,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Mobility Radeon X1300,,,,,,,,,,,,,0x1002,0x7149,0x714a,,,,,,1,,,,1,,,,,,,,800,600,1,0,0,1,,,
ATI FireGL V3300,,,,,,,,,,,,,0x1002,0x7152,0x7152,,,,,,,,,92,1,,,,,,,,800,600,0,0,0,1,,,
